tweet_id,date,location,bounding_box,lang,text,important_tweet,emoji,hastag
1327961188882411522,Sun Nov 15 13:06:34 +0000 2020,"Roquebrune-Cap-Martin, France",empty,fr,savez préfèrent adoubent gvrnmt restiez confinés!!!…,1,,
1327961198088908800,Sun Nov 15 13:06:36 +0000 2020,,empty,fr,n’ose imaginer réactions musulmans mosquée,1,,
1327961200831963138,Sun Nov 15 13:06:37 +0000 2020,,empty,fr,est-il arrivé séquence issue nuit temps pourtant,1,,
1327961207492501505,Sun Nov 15 13:06:38 +0000 2020,"Paris, France",empty,fr,n’ose imaginer réactions musulmans mosquée,1,,
1327961208134250496,Sun Nov 15 13:06:39 +0000 2020,"Henrichemont, France",empty,fr,« produits 1ère nécessite » marions objet rigolo dimanche n*327 difficile concilier…,1,,
1327271269142827008,Fri Nov 13 15:25:04 +0000 2020,Luxembourg,empty,fr,maintient l'interdiction d'augmenter loyers usage d'habitation jusqu'au juin 2021 raison crise,1,,covid19 logement luxembourg
1327961219484037121,Sun Nov 15 13:06:41 +0000 2020,,empty,fr,n’ose imaginer réactions musulmans mosquée,1,,
1327840857425371136,Sun Nov 15 05:08:25 +0000 2020,"Morbihan, Bretagne",empty,fr,remarqué réalité faits vérité notions totalement absentes tweet,1,⤵,ivanrioufol
1327961240740749312,Sun Nov 15 13:06:46 +0000 2020,,empty,fr,n’ose imaginer réactions musulmans mosquée,1,,
1327961258067456002,Sun Nov 15 13:06:50 +0000 2020,Nantes Vendée,empty,fr,source pompiers prises charge derniers 24h patients suspicion,1,,vendee covid19
1327961281031237632,Sun Nov 15 13:06:56 +0000 2020,,empty,fr,général faire hold faut mettre masque,1,😷,
1319292666887114753,Thu Oct 22 15:00:57 +0000 2020,Paris,empty,fr,temps politique temps scientifique démocratie l'épreuve participez ligne mercredi novembre 14h 17h inscription gratuite obligatoire,1,🗓⌚👉,covid19 conférencescientifique
1327961296457838592,Sun Nov 15 13:07:00 +0000 2020,,empty,fr,variant grec virus touche lez enfants heureusement variant,1,🤦♂,covid19
1327961302699036673,Sun Nov 15 13:07:01 +0000 2020,,empty,fr,croyez passer sérieusement,1,,
1327961302648688647,Sun Nov 15 13:07:01 +0000 2020,Paris,empty,fr,j'avais rigolé journée regrette d'avoir entendu eminence,1,,
1327961303193939969,Sun Nov 15 13:07:01 +0000 2020,,empty,fr,,1,,
1327961320176693248,Sun Nov 15 13:07:05 +0000 2020,"Paris, France",empty,fr,article monde diplomatique 2017 faire réfléchir,3,,hold_up covid_19 covid covid19
1327961323750256642,Sun Nov 15 13:07:06 +0000 2020,"Metz, France",empty,fr,n’ose imaginer réactions musulmans mosquée,1,,
1327961328674332675,Sun Nov 15 13:07:07 +0000 2020,paris rive droite ,empty,fr,putain,1,,covid19
1327961331878797313,Sun Nov 15 13:07:08 +0000 2020,,empty,fr,crainte c’est qu’encore gouvernement prêt...comme,1,,masques
1327961338665181185,Sun Nov 15 13:07:10 +0000 2020,"Oloron-Sainte-Marie, France",empty,fr,servez vois tweets madame conseillère régional…,1,🧽👉,
1327961345296396288,Sun Nov 15 13:07:11 +0000 2020,"Val-d'Oise, Ile-de-France",empty,fr,15.11.2020 effets secondaires multiplient,1,,dessin covid19
1327961348177883136,Sun Nov 15 13:07:12 +0000 2020,,empty,fr,pourquoi…,1,,hydroxychloroquine covid19 bigpharma billgates vaccins nouvelordremondial grandreset
1327961353513005057,Sun Nov 15 13:07:13 +0000 2020,La Ciotat,empty,fr,domicile,1,,sport confinement covid19
1327281921399853056,Fri Nov 13 16:07:24 +0000 2020,,empty,fr,hold-up documentaire choque monde entier passe s'abonner amp follow,1,👉👉,holdup documentaire aviscinéexpress complot covid covid19 coronavirus pierrebarnérias théorieducomplot mensongedétat
1327961370550276096,Sun Nov 15 13:07:17 +0000 2020,France-Paris Île de France,empty,fr,chancelier autrichien sebastian kurz annoncé dimanche intention fournir test…,1,,autriche covid
